smiles,vina_score
Nc1ncnc2n(nc(-c3ccccc3)c12)-c1ccccc1,-7.7
Nc1nc(N)c2c(Nc3cccc(Cl)c3)[nH]nc2n1,-7.8
Nc1ncnc2n[nH]c(Nc3cccc(Cl)c3)c12,-8.2
N(c1[nH]nc2ncnc(Nc3ccccc3)c12)c1ccccc1,-8.1
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,-8.1
Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,-5.8
CC(C)(C)OC(=O)Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,-6.6
Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,-6.4
CN(C)c1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,-7.7
Clc1cccc(Nc2ncnc3n[nH]c(NCc4ccccc4)c23)c1,-8.4
Clc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,-8.3
COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,-7.4
COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,-8.1
Clc1cccc(Nc2ncnc3n[nH]c(-c4ccccc4)c23)c1,-8.2
Oc1cccc(c1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,-8.3
COc1ccc(cc1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,-6.8
Oc1ccc(cc1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,-7.2
[O-][N+](=O)c1cccc(c1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,-8.2
Nc1cccc(c1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,-7.9
CC(C)(C)OC(=O)Nc1ccc(cc1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,-7.0
Nc1ccc(cc1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,-8.8
Clc1cccc(Nc2[nH]nc3ncnc(Oc4cccc(Cl)c4)c23)c1,-7.3
Clc1cccc(Nc2[nH]nc3ncnc(NCc4ccccc4)c23)c1,-7.9
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,-7.4
Cn1c2nc(N)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,-7.5
CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,-7.2
CCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,-7.6
CC(C)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,-7.0
CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,-8.3
Cn1c2nc(NC3CCCCC3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,-7.3
Cn1c2nc(NCCO)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,-7.9
Cn1c2nc(NCc3ccccc3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,-7.6
CN(C)c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,-6.8
CCN(CC)CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,-4.9
Cn1c2nc(NCCCN3CCOCC3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O,-7.1
CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,-6.8
CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,-5.9
COc1cccc2c(NCc3ccccc3)ncnc12,-7.7
COc1cc2c(NCc3ccccc3)ncnc2cc1O,-7.8
COc1cc2ncnc(NCc3ccccc3)c2cc1O,-7.3
COc1cc2ncnc(NCc3ccccc3)c2cc1OC,-7.3
[O-][N+](=O)c1cccc2ncnc(Nc3cccc(Br)c3)c12,-7.8
Nc1cccc2ncnc(Nc3cccc(Br)c3)c12,-7.8
COc1cccc2ncnc(Nc3cccc(Br)c3)c12,-7.8
[O-][N+](=O)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,-7.7
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,-7.7
COc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,-8.1
[O-][N+](=O)c1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-7.8
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-7.9
COc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,-7.5
[O-][N+](=O)c1cccc2c(Nc3cccc(Br)c3)ncnc12,-7.1
Nc1cccc2c(Nc3cccc(Br)c3)ncnc12,-7.4
COc1cccc2c(Nc3cccc(Br)c3)ncnc12,-7.7
Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O,-7.7
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,-7.6
Nc1cc2ncnc(Nc3ccccc3)c2cn1,-8.3
Nc1cc2ncnc(Nc3ccccc3[N+]([O-])=O)c2cn1,-7.1
Nc1cc2ncnc(Nc3cccc(c3)[N+]([O-])=O)c2cn1,-7.6
Nc1cc2ncnc(Nc3ccc(cc3)[N+]([O-])=O)c2cn1,-7.8
Nc1cc2ncnc(Nc3ccccc3Br)c2cn1,-7.6
Nc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,-7.0
Nc1cc2ncnc(Nc3ccc(Br)cc3)c2cn1,-7.6
Nc1cc2ncnc(Nc3ccccc3C(F)(F)F)c2cn1,-7.7
Nc1cc2ncnc(Nc3cccc(c3)C(F)(F)F)c2cn1,-7.7
Nc1cc2ncnc(Nc3ccc(cc3)C(F)(F)F)c2cn1,-7.3
COc1ccccc1Nc1ncnc2cc(N)ncc12,-7.3
COc1cccc(Nc2ncnc3cc(N)ncc23)c1,-7.0
COc1ccc(Nc2ncnc3cc(N)ncc23)cc1,-8.0
Nc1cc2ncnc(Nc3ccccc3N)c2cn1,-8.1
Nc1cccc(Nc2ncnc3cc(N)ncc23)c1,-7.3
Nc1ccc(Nc2ncnc3cc(N)ncc23)cc1,-7.5
CN(C)c1ccccc1Nc1ncnc2cc(N)ncc12,-7.1
CN(C)c1cccc(Nc2ncnc3cc(N)ncc23)c1,-7.1
CN(C)c1ccc(Nc2ncnc3cc(N)ncc23)cc1,-8.0
Nc1cc2ncnc(Nc3cccc(F)c3)c2cn1,-7.7
Nc1cc2ncnc(Nc3cccc(Cl)c3)c2cn1,-7.0
Nc1cc2ncnc(Nc3cccc(I)c3)c2cn1,-8.1
Nc1cc2ncnc(Nc3cccc(O)c3)c2cn1,-7.9
Cc1cccc(Nc2ncnc3cc(N)ncc23)c1,-7.3
Nc1cc2ncnc(Nc3cccnc3)c2cn1,-7.4
CC(=O)Nc1cccc(Nc2ncnc3cc(N)ncc23)c1,-7.5
CC(=O)Nc1ccc(Nc2ncnc3cc(N)ncc23)cc1,-7.4
Nc1cc2ncnc(NCc3ccccc3)c2cn1,-8.2
Nc1cc2ncnc(NCc3ccccc3[N+]([O-])=O)c2cn1,-7.4
Nc1cc2ncnc(NCc3cccc(c3)[N+]([O-])=O)c2cn1,-7.6
Nc1cc2ncnc(NCc3ccc(cc3)[N+]([O-])=O)c2cn1,-7.5
Nc1cc2ncnc(NCc3ccccc3Br)c2cn1,-7.4
Nc1cc2ncnc(NCc3cccc(Br)c3)c2cn1,-7.3
Nc1cc2ncnc(NCc3ccc(Br)cc3)c2cn1,-7.7
Nc1cc2ncnc(NCc3ccccc3C(F)(F)F)c2cn1,-7.6
Nc1cc2ncnc(NCc3cccc(c3)C(F)(F)F)c2cn1,-7.8
